Data;0-39;40-59;60-79;80-89;>=90;%0-39;%40-59;%60-79;%80-89;%>=90;Totale
20/02/20;1;6;41;34;10;1,09%;6,52%;44,57%;36,96%;10,87%;92
21/02/20;6;15;54;38;8;4,96%;12,40%;44,63%;31,40%;6,61%;121
22/02/20;13;21;48;15;9;12,26%;19,81%;45,28%;14,15%;8,49%;106
23/02/20;19;39;60;32;2;12,50%;25,66%;39,47%;21,05%;1,32%;152
24/02/20;18;30;96;38;9;9,42%;15,71%;50,26%;19,90%;4,71%;191
25/02/20;18;59;118;60;13;6,72%;22,01%;44,03%;22,39%;4,85%;268
26/02/20;27;59;95;78;17;9,78%;21,38%;34,42%;28,26%;6,16%;276
27/02/20;21;63;133;90;12;6,58%;19,75%;41,69%;28,21%;3,76%;319
28/02/20;9;64;187;97;22;2,37%;16,89%;49,34%;25,59%;5,80%;379
29/02/20;17;67;175;97;17;4,56%;17,96%;46,92%;26,01%;4,56%;373
01/03/20;23;108;193;99;21;5,18%;24,32%;43,47%;22,30%;4,73%;444
02/03/20;33;137;297;165;33;4,96%;20,60%;44,66%;24,81%;4,96%;665
03/03/20;33;167;384;188;46;4,03%;20,42%;46,94%;22,98%;5,62%;818
04/03/20;42;218;449;179;27;4,59%;23,83%;49,07%;19,56%;2,95%;915
05/03/20;44;265;508;227;46;4,04%;24,31%;46,61%;20,83%;4,22%;1090
06/03/20;58;293;598;239;45;4,70%;23,76%;48,50%;19,38%;3,65%;1233
07/03/20;75;268;542;270;50;6,22%;22,24%;44,98%;22,41%;4,15%;1205
08/03/20;65;269;540;239;47;5,60%;23,19%;46,55%;20,60%;4,05%;1160
09/03/20;83;367;667;284;53;5,71%;25,24%;45,87%;19,53%;3,65%;1454
10/03/20;80;384;752;330;50;5,01%;24,06%;47,12%;20,68%;3,13%;1596
11/03/20;106;445;804;336;62;6,05%;25,39%;45,86%;19,17%;3,54%;1753
12/03/20;121;446;895;385;57;6,36%;23,42%;47,01%;20,22%;2,99%;1904
13/03/20;138;600;1053;462;75;5,93%;25,77%;45,23%;19,85%;3,22%;2328
14/03/20;97;493;957;376;71;4,86%;24,72%;47,99%;18,86%;3,56%;1994
15/03/20;92;517;839;387;66;4,84%;27,20%;44,13%;20,36%;3,47%;1901
16/03/20;164;635;1174;452;64;6,59%;25,51%;47,17%;18,16%;2,57%;2489
17/03/20;148;687;1317;444;75;5,54%;25,72%;49,31%;16,62%;2,81%;2671
18/03/20;145;745;1261;465;92;5,35%;27,51%;46,57%;17,17%;3,40%;2708
19/03/20;135;723;1353;477;97;4,85%;25,96%;48,58%;17,13%;3,48%;2785
20/03/20;146;758;1307;551;94;5,11%;26,54%;45,76%;19,29%;3,29%;2856
21/03/20;103;682;1159;499;97;4,06%;26,85%;45,63%;19,65%;3,82%;2540
