Data;Provincia;Nido;Materna;Elementare;Media;Superiore;Totale
06/09/2021 - 12/09/2021;Arezzo;7;8;9;6;14;44
06/09/2021 - 12/09/2021;Firenze;17;23;57;35;41;173
06/09/2021 - 12/09/2021;Grosseto;6;3;7;9;6;31
06/09/2021 - 12/09/2021;Livorno;2;3;6;5;9;25
06/09/2021 - 12/09/2021;Lucca;8;7;18;8;14;55
06/09/2021 - 12/09/2021;Massa Carrara;2;5;4;5;18;34
06/09/2021 - 12/09/2021;Pisa;7;10;10;8;12;47
06/09/2021 - 12/09/2021;Prato;9;8;11;10;9;47
06/09/2021 - 12/09/2021;Pistoia;5;14;23;9;15;66
06/09/2021 - 12/09/2021;Siena;7;9;16;8;19;59
;;;;;;;
13/09/2021 - 19/09/2021;Arezzo;2;2;11;5;8;28
13/09/2021 - 19/09/2021;Firenze;27;33;58;44;48;210
13/09/2021 - 19/09/2021;Grosseto;2;3;10;6;6;27
13/09/2021 - 19/09/2021;Livorno;5;8;12;6;23;54
13/09/2021 - 19/09/2021;Lucca;3;6;21;5;8;43
13/09/2021 - 19/09/2021;Massa Carrara;1;2;2;2;6;13
13/09/2021 - 19/09/2021;Pisa;10;6;9;11;14;50
13/09/2021 - 19/09/2021;Prato;9;23;18;9;16;75
13/09/2021 - 19/09/2021;Pistoia;9;7;15;10;17;58
13/09/2021 - 19/09/2021;Siena;5;9;23;5;15;57
;;;;;;;
20/09/2021 - 26/09/2021;Arezzo;2;3;13;6;5;29
20/09/2021 - 26/09/2021;Firenze;16;22;58;37;32;165
20/09/2021 - 26/09/2021;Grosseto;6;2;3;8;2;21
20/09/2021 - 26/09/2021;Livorno;5;7;9;4;3;28
20/09/2021 - 26/09/2021;Lucca;2;9;11;3;6;31
20/09/2021 - 26/09/2021;Massa Carrara;0;2;0;1;3;6
20/09/2021 - 26/09/2021;Pisa;3;6;14;7;7;37
20/09/2021 - 26/09/2021;Prato;5;8;14;7;11;45
20/09/2021 - 26/09/2021;Pistoia;4;7;15;12;20;58
20/09/2021 - 26/09/2021;Siena;3;6;10;5;9;33
;;;;;;;
27/09/2021 - 03/10/2021;Arezzo;0;3;6;4;3;16
27/09/2021 - 03/10/2021;Firenze;6;22;51;27;24;130
27/09/2021 - 03/10/2021;Grosseto;1;3;6;5;5;20
27/09/2021 - 03/10/2021;Livorno;2;3;7;3;4;19
27/09/2021 - 03/10/2021;Lucca;0;4;7;6;9;26
27/09/2021 - 03/10/2021;Massa Carrara;0;4;16;3;3;26
27/09/2021 - 03/10/2021;Pisa;4;3;10;8;3;28
27/09/2021 - 03/10/2021;Prato;4;3;8;4;3;22
27/09/2021 - 03/10/2021;Pistoia;2;3;11;15;24;55
27/09/2021 - 03/10/2021;Siena;7;10;31;9;9;66
;;;;;;;
04/10/2021 - 10/10/2021;Arezzo;1;5;7;1;0;14
04/10/2021 - 10/10/2021;Firenze;12;30;31;16;22;111
04/10/2021 - 10/10/2021;Grosseto;1;2;2;2;2;9
04/10/2021 - 10/10/2021;Livorno;5;4;14;4;6;33
04/10/2021 - 10/10/2021;Lucca;0;1;5;5;10;21
04/10/2021 - 10/10/2021;Massa Carrara;0;0;4;1;1;6
04/10/2021 - 10/10/2021;Pisa;4;2;10;3;5;24
04/10/2021 - 10/10/2021;Prato;3;3;8;3;6;23
04/10/2021 - 10/10/2021;Pistoia;1;6;10;9;12;38
04/10/2021 - 10/10/2021;Siena;4;6;25;5;4;44
;;;;;;;
11/10/2021 - 17/10/2021;Arezzo;0;7;9;3;5;24
11/10/2021 - 17/10/2021;Firenze;14;24;52;24;19;133
11/10/2021 - 17/10/2021;Grosseto;0;1;3;3;4;11
11/10/2021 - 17/10/2021;Livorno;2;1;4;3;0;10
11/10/2021 - 17/10/2021;Lucca;2;8;5;3;7;25
11/10/2021 - 17/10/2021;Massa Carrara;0;0;1;0;3;4
11/10/2021 - 17/10/2021;Pisa;1;4;20;4;4;33
11/10/2021 - 17/10/2021;Prato;4;3;8;2;4;21
11/10/2021 - 17/10/2021;Pistoia;4;6;11;7;11;39
11/10/2021 - 17/10/2021;Siena;3;4;18;2;6;33
;;;;;;;
18/10/2021 - 24/10/2021;Arezzo;2;7;6;1;2;18
18/10/2021 - 24/10/2021;Firenze;7;14;38;27;21;107
18/10/2021 - 24/10/2021;Grosseto;1;3;2;6;4;16
18/10/2021 - 24/10/2021;Livorno;2;3;3;1;7;16
18/10/2021 - 24/10/2021;Lucca;2;2;5;6;5;20
18/10/2021 - 24/10/2021;Massa Carrara;5;0;1;20;1;27
18/10/2021 - 24/10/2021;Pisa;1;7;21;13;6;48
18/10/2021 - 24/10/2021;Prato;4;5;4;5;3;21
18/10/2021 - 24/10/2021;Pistoia;0;2;11;3;6;22
18/10/2021 - 24/10/2021;Siena;2;5;17;10;3;37
;;;;;;;
25/10/2021 - 31/10/2021;Arezzo;1;3;32;7;8;51
25/10/2021 - 31/10/2021;Firenze;11;22;67;25;9;134
25/10/2021 - 31/10/2021;Grosseto;3;1;10;13;11;38
25/10/2021 - 31/10/2021;Livorno;8;3;13;9;8;41
25/10/2021 - 31/10/2021;Lucca;6;3;13;10;11;43
25/10/2021 - 31/10/2021;Massa Carrara;1;4;12;21;4;42
25/10/2021 - 31/10/2021;Pisa;4;12;28;14;13;71
25/10/2021 - 31/10/2021;Prato;3;0;6;9;4;22
25/10/2021 - 31/10/2021;Pistoia;2;5;9;9;6;31
25/10/2021 - 31/10/2021;Siena;1;10;36;24;7;78
;;;;;;;
01/11/2021 - 07/11/2021;Arezzo;1;3;28;9;8;49
01/11/2021 - 07/11/2021;Firenze;6;16;54;21;14;111
01/11/2021 - 07/11/2021;Grosseto;1;6;12;23;10;52
01/11/2021 - 07/11/2021;Livorno;3;4;20;10;9;46
01/11/2021 - 07/11/2021;Lucca;3;8;20;7;3;41
01/11/2021 - 07/11/2021;Massa Carrara;2;5;10;11;5;33
01/11/2021 - 07/11/2021;Pisa;5;12;41;14;12;84
01/11/2021 - 07/11/2021;Prato;3;12;16;13;3;47
01/11/2021 - 07/11/2021;Pistoia;1;11;19;2;12;45
01/11/2021 - 07/11/2021;Siena;7;7;32;22;7;75
;;;;;;;
08/11/2021 - 14/11/2021;Arezzo;4;3;31;7;6;51
08/11/2021 - 14/11/2021;Firenze;12;26;103;50;26;217
08/11/2021 - 14/11/2021;Grosseto;2;6;23;19;11;61
08/11/2021 - 14/11/2021;Livorno;0;5;18;7;8;38
08/11/2021 - 14/11/2021;Lucca;6;14;20;17;10;67
