Data;Focolai Nido (0-2 anni);Focolai Materna (3-5 anni);Focolai Elementari (6-10 anni);Focolai Medie (11-13 anni);Focolai Superiori (14-18 anni)
20-26 settembre 2021;5;32;59;33;44
4-10 ottobre 2021;4;15;40;27;44
11-17 ottobre 2021;5;13;39;25;45
18-24 ottobre 2021;5;23;70;44;43
25-31 ottobre 2021;6;23;56;45;32
8-14 novembre 2021;3;31;84;60;56
15-21 novembre 2021;3;34;98;67;48
22-28 novembre 2021;5;50;145;45;42
29 novembre - 5 dicembre 2021;20;65;196;93;76
6-12 dicembre 2021;13;88;282;140;151
13-19 dicembre 2021;14;87;348;165;203
20-26 dicembre 2021;16;128;430;188;273
10-16 gennaio 2022;73;273;345;72;117
17-23 gennaio 2022;117;757;1.650;341;377
24-30 gennaio 2022;116;803;1.750;516;612
