Settimana;Comune;Casi
15/11/2021 - 21/11/2021;ACQUAVIVA;1
15/11/2021 - 21/11/2021;ADELFIA;1
15/11/2021 - 21/11/2021;ALBEROBELLO;0
15/11/2021 - 21/11/2021;ALTAMURA;5
15/11/2021 - 21/11/2021;BARI;18
15/11/2021 - 21/11/2021;BINETTO;0
15/11/2021 - 21/11/2021;BITETTO;1
15/11/2021 - 21/11/2021;BITONTO;4
15/11/2021 - 21/11/2021;BITRITTO;2
15/11/2021 - 21/11/2021;CAPURSO;0
15/11/2021 - 21/11/2021;CASAMASSIMA;0
15/11/2021 - 21/11/2021;CASSANO M.;2
15/11/2021 - 21/11/2021;CASTELLANA G.;5
15/11/2021 - 21/11/2021;CELLAMARE;0
15/11/2021 - 21/11/2021;CONVERSANO;6
15/11/2021 - 21/11/2021;CORATO;0
15/11/2021 - 21/11/2021;GIOIA DEL COLLE;0
15/11/2021 - 21/11/2021;GIOVINAZZO;0
15/11/2021 - 21/11/2021;GRAVINA IN P.;2
15/11/2021 - 21/11/2021;GRUMO APPULA;0
15/11/2021 - 21/11/2021;LOCOROTONDO;0
15/11/2021 - 21/11/2021;MODUGNO;0
15/11/2021 - 21/11/2021;MOLA DI BARI;4
15/11/2021 - 21/11/2021;MOLFETTA;0
15/11/2021 - 21/11/2021;MONOPOLI;2
15/11/2021 - 21/11/2021;NOCI;0
15/11/2021 - 21/11/2021;NOICATTARO;4
15/11/2021 - 21/11/2021;PALO DEL C.;1
15/11/2021 - 21/11/2021;POGGIORSINI;0
15/11/2021 - 21/11/2021;POLIGNANO;1
15/11/2021 - 21/11/2021;PUTIGNANO;1
15/11/2021 - 21/11/2021;RUTIGLIANO;2
15/11/2021 - 21/11/2021;RUVO DI P.;0
15/11/2021 - 21/11/2021;SAMMICHELE DI B.;0
15/11/2021 - 21/11/2021;SANNICANDRO DI B.;0
15/11/2021 - 21/11/2021;SANTERAMO IN C.;6
15/11/2021 - 21/11/2021;TERLIZZI;0
15/11/2021 - 21/11/2021;TORITTO;0
15/11/2021 - 21/11/2021;TRIGGIANO;1
15/11/2021 - 21/11/2021;TURI;0
15/11/2021 - 21/11/2021;VALENZANO;0
;;
22/11/2021 - 28/11/2021;ACQUAVIVA;9
22/11/2021 - 28/11/2021;ADELFIA;0
22/11/2021 - 28/11/2021;ALBEROBELLO;0
22/11/2021 - 28/11/2021;ALTAMURA;24
22/11/2021 - 28/11/2021;BARI;14
22/11/2021 - 28/11/2021;BINETTO;0
22/11/2021 - 28/11/2021;BITETTO;0
22/11/2021 - 28/11/2021;BITONTO;1
22/11/2021 - 28/11/2021;BITRITTO;0
22/11/2021 - 28/11/2021;CAPURSO;0
22/11/2021 - 28/11/2021;CASAMASSIMA;0
22/11/2021 - 28/11/2021;CASSANO M.;0
22/11/2021 - 28/11/2021;CASTELLANA G.;0
22/11/2021 - 28/11/2021;CELLAMARE;0
22/11/2021 - 28/11/2021;CONVERSANO;0
22/11/2021 - 28/11/2021;CORATO;0
22/11/2021 - 28/11/2021;GIOIA DEL COLLE;0
22/11/2021 - 28/11/2021;GIOVINAZZO;0
22/11/2021 - 28/11/2021;GRAVINA IN P.;5
22/11/2021 - 28/11/2021;GRUMO APPULA;0
22/11/2021 - 28/11/2021;LOCOROTONDO;0
22/11/2021 - 28/11/2021;MODUGNO;1
22/11/2021 - 28/11/2021;MOLA DI BARI;2
22/11/2021 - 28/11/2021;MOLFETTA;0
22/11/2021 - 28/11/2021;MONOPOLI;0
22/11/2021 - 28/11/2021;NOCI;1
22/11/2021 - 28/11/2021;NOICATTARO;3
22/11/2021 - 28/11/2021;PALO DEL C.;0
22/11/2021 - 28/11/2021;POGGIORSINI;0
22/11/2021 - 28/11/2021;POLIGNANO;0
22/11/2021 - 28/11/2021;PUTIGNANO;0
22/11/2021 - 28/11/2021;RUTIGLIANO;0
22/11/2021 - 28/11/2021;RUVO DI P.;0
22/11/2021 - 28/11/2021;SAMMICHELE DI B.;0
22/11/2021 - 28/11/2021;SANNICANDRO DI B.;0
22/11/2021 - 28/11/2021;SANTERAMO IN C.;1
22/11/2021 - 28/11/2021;TERLIZZI;0
22/11/2021 - 28/11/2021;TORITTO;0
22/11/2021 - 28/11/2021;TRIGGIANO;0
22/11/2021 - 28/11/2021;TURI;0
22/11/2021 - 28/11/2021;VALENZANO;0
;;
29/11/2021 - 05/12/2021;ACQUAVIVA;1
29/11/2021 - 05/12/2021;ADELFIA;0
29/11/2021 - 05/12/2021;ALBEROBELLO;1
29/11/2021 - 05/12/2021;ALTAMURA;12
29/11/2021 - 05/12/2021;BARI;32
29/11/2021 - 05/12/2021;BINETTO;0
29/11/2021 - 05/12/2021;BITETTO;0
29/11/2021 - 05/12/2021;BITONTO;0
29/11/2021 - 05/12/2021;BITRITTO;0
29/11/2021 - 05/12/2021;CAPURSO;0
29/11/2021 - 05/12/2021;CASAMASSIMA;0
29/11/2021 - 05/12/2021;CASSANO M.;2
29/11/2021 - 05/12/2021;CASTELLANA G.;2
29/11/2021 - 05/12/2021;CELLAMARE;0
29/11/2021 - 05/12/2021;CONVERSANO;5
29/11/2021 - 05/12/2021;CORATO;6
29/11/2021 - 05/12/2021;GIOIA DEL COLLE;0
29/11/2021 - 05/12/2021;GIOVINAZZO;1
29/11/2021 - 05/12/2021;GRAVINA IN P.;1
29/11/2021 - 05/12/2021;GRUMO APPULA;0
29/11/2021 - 05/12/2021;LOCOROTONDO;0
29/11/2021 - 05/12/2021;MODUGNO;1
29/11/2021 - 05/12/2021;MOLA DI BARI;1
