Data;>=80 anni;>=80 anni_non_consolidati;Altri;Altri_non_consolidati
20/02/20;1;;;
21/02/20;1;;1;
22/02/20;0;;2;
23/02/20;2;;1;
24/02/20;2;;3;
25/02/20;5;;5;
26/02/20;5;;1;
27/02/20;5;;3;
28/02/20;8;;3;
29/02/20;8;;7;
01/03/20;14;;12;
02/03/20;18;;7;
03/03/20;30;;26;
04/03/20;35;;21;
05/03/20;46;;35;
06/03/20;63;;48;
07/03/20;101;;67;
08/03/20;98;;80;
09/03/20;122;;104;
10/03/20;157;;126;
11/03/20;159;;153;
12/03/20;174;;150;
13/03/20;203;;176;
14/03/20;237;;210;
15/03/20;222;;213;
16/03/20;253;;259;
17/03/20;291;;284;
18/03/20;324;;321;
19/03/20;315;;341;
20/03/20;400;;356;
21/03/20;396;;425;
22/03/20;416;;400;
23/03/20;417;;447;
24/03/20;397;;425;
25/03/20;409;;463;
26/03/20;408;;432;
27/03/20;470;;415;
28/03/20;477;;450;
29/03/20;406;;363;
30/03/20;443;;351;
31/03/20;379;;331;
01/04/20;399;;318;
02/04/20;396;;297;
03/04/20;363;;318;
04/04/20;387;;254;
05/04/20;355;;247;
06/04/20;342;;251;
07/04/20;398;;216;
08/04/20;363;;241;
09/04/20;333;;213;
10/04/20;389;;220;
11/04/20;389;;198;
12/04/20;394;;188;
13/04/20;354;;180;
14/04/20;349;;192;
15/04/20;333;;181;
16/04/20;295;;157;
17/04/20;303;;175;
18/04/20;302;;163;
19/04/20;314;;148;
20/04/20;292;;156;
21/04/20;242;;125;
22/04/20;265;;120;
23/04/20;249;;109;
24/04/20;263;;124;
25/04/20;256;;103;
26/04/20;223;;99;
27/04/20;230;;101;
28/04/20;210;;103;
29/04/20;203;;96;
30/04/20;189;;74;
01/05/20;182;;77;
02/05/20;179;;75;
03/05/20;180;;63;
04/05/20;151;;69;
05/05/20;162;;65;
06/05/20;147;;72;
07/05/20;128;;53;
08/05/20;106;;65;
09/05/20;134;;66;
10/05/20;111;;59;
11/05/20;106;;57;
12/05/20;115;;45;
13/05/20;103;;42;
14/05/20;97;;45;
15/05/20;114;;41;
16/05/20;85;;18;
17/05/20;90;;29;
18/05/20;79;;21;
19/05/20;64;;28;
20/05/20;68;;20;
21/05/20;58;;20;
22/05/20;59;;25;
23/05/20;68;;27;
24/05/20;59;;26;
25/05/20;54;;21;
26/05/20;37;;23;
27/05/20;34;;17;
28/05/20;49;;21;
29/05/20;45;;16;
30/05/20;31;;18;
31/05/20;31;;18;
01/06/20;40;;22;
02/06/20;49;;7;
03/06/20;36;;15;
04/06/20;43;;17;
05/06/20;43;;24;
06/06/20;59;;19;
07/06/20;25;;11;
08/06/20;27;;16;
09/06/20;36;;9;
10/06/20;27;;11;
11/06/20;25;;14;
12/06/20;23;;11;
13/06/20;16;;8;
14/06/20;10;;12;
15/06/20;26;;12;
16/06/20;33;;11;
17/06/20;26;;9;
18/06/20;30;;14;
19/06/20;29;;5;
20/06/20;16;;3;
21/06/20;23;;2;
