regione;n_laboratori;camponi_positivi;n_campioni_sequenziati;n_P-1;n_B-1-351;n_B.1-617-2;n_B-1-1-529;Other;percent_P-1;percent_B-1-351;percent_B.1-617-2;percent_B-1-1-529;Other
Abruzzo;2;179;63;0;0;52;10;0;0;0;83,9;16,1;0
Basilicata;2;131;10;0;0;5;5;0;0;0;50;50;0
Calabria;4;475;80;0;0;69;2;0;0;0;97,2;2,8;0
Campania;3;1770;134;0;0;114;17;0;0;0;87;13;0
Emilia-Romagna;3;133;133;0;0;111;22;0;0;0;83,5;16,5;0
Friuli-Venezia Giulia;6;254;60;0;0;54;5;0;0;0;91,5;8,5;0
Lazio;6;362;339;0;0;262;55;1;0;0;82,4;17,3;0
Liguria;10;610;52;0;0;42;6;0;0;0;87,5;12,5;0
Lombardia;16;460;350;0;0;202;137;0;0;0;59,6;40,4;0
Marche;5;92;68;0;0;63;4;0;0;0;94;6;0
Molise;1;7;7;0;0;6;1;0;0;0;85,7;14,3;0
P.A. Bolzano;1;94;45;0;0;43;2;0;0;0;95,6;4,4;0
P.A. Trento;1;17;17;0;0;13;4;0;0;0;76,5;23,5;0
Piemonte;11;126;126;0;0;98;25;0;0;0;79,7;20,3;0
Puglia;11;59;57;0;0;44;13;0;0;0;77,2;22,8;0
Sardegna;10;338;31;0;0;25;5;0;0;0;83,3;16,7;0
Sicilia;5;354;246;0;0;203;43;0;0;0;82,5;17,5;0
Toscana;3;260;84;0;0;42;42;0;0;0;50;50;0
Umbria;4;498;68;0;0;24;44;0;0;0;35,3;64,7;0
Valle d'Aosta;1;5;5;0;0;3;2;0;0;0;60;40;0
Veneto;12;219;219;0;0;201;18;0;0;0;91,8;8,2;0
ITALIA;117;6443;2194;0;0;1676;462;1;0;0;79;21;0
