Data;Regione;Totale Classi/Sezioni;Classi/Sezioni che hanno partecipato alla rilevazione;% rispetto al totale classi;Classi/Sezioni in presenza;di cui in DDI;% Classi/Sezioni in presenza;% di cui in DDI;N. classi in DAD e sezioni in quarantena;% classi in DAD e sezioni in quarantena 
10 - 15 gennaio 2022;Piemonte;26.351;22.580;85,70%;20.968;2.796;92,90%;12,40%;1.612;7,10%
10 - 15 gennaio 2022;Lombardia;55.962;43.794;78,30%;40.215;6.051;91,80%;13,80%;3.579;8,20%
10 - 15 gennaio 2022;Veneto;28.285;21.079;74,50%;19.355;2.351;91,80%;11,20%;1.724;8,20%
10 - 15 gennaio 2022;Friuli Venezia Giulia;7.330;5.933;80,90%;5.567;550;93,80%;9,30%;366;6,20%
10 - 15 gennaio 2022;Liguria;8.409;7.185;85,40%;6.583;1.121;91,60%;15,60%;602;8,40%
10 - 15 gennaio 2022;Emilia Romagna;25.233;18.796;74,50%;17.481;2.303;93,00%;12,30%;1.315;7,00%
10 - 15 gennaio 2022;Toscana;22.467;18.498;82,30%;17.146;2.418;92,70%;13,10%;1.352;7,30%
10 - 15 gennaio 2022;Umbria;5.972;5.509;92,20%;5.105;868;92,70%;15,80%;404;7,30%
10 - 15 gennaio 2022;Marche;10.152;8.549;84,20%;7.971;920;93,20%;10,80%;578;6,80%
10 - 15 gennaio 2022;Lazio;34.534;29.560;85,60%;27.376;3.551;92,60%;12,00%;2.184;7,40%
10 - 15 gennaio 2022;Abruzzo;8.755;6.999;79,90%;6.606;1.362;94,40%;19,50%;393;5,60%
10 - 15 gennaio 2022;Molise;2.145;2.053;95,70%;1.772;87;86,30%;4,20%;281;13,70%
10 - 15 gennaio 2022;Campania;43.971;35.124;79,90%;33.396;4.092;95,10%;11,70%;1.728;4,90%
10 - 15 gennaio 2022;Puglia;27.973;24.053;86,00%;22.507;4.326;93,60%;18,00%;1.546;6,40%
10 - 15 gennaio 2022;Basilicata;4.165;3.771;90,50%;3.589;752;95,20%;19,90%;182;4,80%
10 - 15 gennaio 2022;Calabria;15.128;12.419;82,10%;12.062;978;97,10%;7,90%;357;2,90%
10 - 15 gennaio 2022;Sicilia;36.636;32.548;88,80%;31.124;4.356;95,60%;13,40%;1.424;4,40%
10 - 15 gennaio 2022;Sardegna;11.272;9.240;82,00%;8.682;1.354;94,00%;14,70%;558;6,00%
10 - 15 gennaio 2022;TOTALE;374.740;307.690;82,10%;287.505;40.236;93,40%;13,10%;20.185;6,60%
;;;;;;;;;;
17 - 22 gennaio 2022;Piemonte;26.348;22.847;86,70%;18.422;3.313;80,60%;14,50%;4.425;19,40%
17 - 22 gennaio 2022;Lombardia;56.046;46.118;82,30%;37.228;7.111;80,70%;15,40%;8.890;19,30%
17 - 22 gennaio 2022;Veneto;28.337;21.966;77,50%;17.311;3.245;78,80%;14,80%;4.655;21,20%
17 - 22 gennaio 2022;Friuli Venezia Giulia;7.330;6.273;85,60%;5.228;881;83,30%;14,00%;1.045;16,70%
17 - 22 gennaio 2022;Liguria;8.413;7.173;85,30%;5.463;1.378;76,20%;19,20%;1.710;23,80%
17 - 22 gennaio 2022;Emilia Romagna;25.292;19.403;76,70%;15.663;2.900;80,70%;14,90%;3.740;19,30%
17 - 22 gennaio 2022;Toscana;22.665;18.956;83,60%;15.348;2.606;81,00%;13,70%;3.608;19,00%
17 - 22 gennaio 2022;Umbria;5.954;5.373;90,20%;4.587;776;85,40%;14,40%;786;14,60%
17 - 22 gennaio 2022;Marche;10.155;8.974;88,40%;7.277;1.220;81,10%;13,60%;1.697;18,90%
17 - 22 gennaio 2022;Lazio;34.647;28.675;82,80%;23.342;4.174;81,40%;14,60%;5.333;18,60%
17 - 22 gennaio 2022;Abruzzo;8.756;7.294;83,30%;5.973;1.371;81,90%;18,80%;1.321;18,10%
17 - 22 gennaio 2022;Molise;2.147;2.007;93,50%;1.865;170;92,90%;8,50%;142;7,10%
17 - 22 gennaio 2022;Campania;43.971;35.768;81,30%;32.064;5.052;89,60%;14,10%;3.704;10,40%
17 - 22 gennaio 2022;Puglia;27.978;24.373;87,10%;21.068;4.612;86,40%;18,90%;3.305;13,60%
17 - 22 gennaio 2022;Basilicata;4.165;3.797;91,20%;3.370;713;88,80%;18,80%;427;11,20%
17 - 22 gennaio 2022;Calabria;15.120;13.128;86,80%;12.395;1.194;94,40%;9,10%;733;5,60%
17 - 22 gennaio 2022;Sicilia;36.637;33.766;92,20%;32.095;5.691;95,10%;16,90%;1.671;4,90%
17 - 22 gennaio 2022;Sardegna;11.326;9.356;82,60%;7.705;1.706;82,40%;18,20%;1.651;17,60%
17 - 22 gennaio 2022;TOTALE;375.287;315.247;84,00%;266.404;48.113;84,50%;15,30%;48.843;15,50%
;;;;;;;;;;
23 - 29 gennaio 2022;Piemonte;26.349;20.767;78,80%;16.500;2.886;79,50%;14,10%;4.267;20,50%
23 - 29 gennaio 2022;Lombardia;56.139;45.022;80,20%;37.250;5.994;82,70%;13,60%;7.772;17,30%
23 - 29 gennaio 2022;Veneto;28.355;20.494;72,30%;16.224;2.773;79,20%;13,70%;4.270;20,80%
23 - 29 gennaio 2022;Friuli Venezia Giulia;7.331;6.069;82,80%;4.786;906;78,90%;15,10%;1.283;21,10%
23 - 29 gennaio 2022;Liguria;8.414;6.720;79,90%;5.123;1.163;76,20%;17,80%;1.597;23,80%
23 - 29 gennaio 2022;Emilia Romagna;25.293;18.689;73,90%;14.909;2.554;79,80%;13,70%;3.780;20,20%
23 - 29 gennaio 2022;Toscana;22.759;18.145;79,70%;14.327;2.618;79,00%;14,70%;3.818;21,00%
23 - 29 gennaio 2022;Umbria;5.941;5.010;84,30%;4.157;791;83,00%;16,00%;853;17,00%
23 - 29 gennaio 2022;Marche;10.155;8.581;84,50%;6.881;1.264;80,20%;14,90%;1.700;19,80%
23 - 29 gennaio 2022;Lazio;34.743;26.842;77,30%;21.311;3.928;79,40%;14,70%;5.531;20,60%
23 - 29 gennaio 2022;Abruzzo;8.757;7.105;81,10%;5.596;1.182;78,80%;17,20%;1.509;21,20%
23 - 29 gennaio 2022;Molise;2.147;1.972;91,80%;1.735;273;88,00%;13,80%;237;12,00%
23 - 29 gennaio 2022;Campania;44.025;31.392;71,30%;27.468;4.624;87,50%;14,80%;3.924;12,50%
23 - 29 gennaio 2022;Puglia;27.982;23.160;82,80%;19.546;3.794;84,40%;16,50%;3.614;15,60%
23 - 29 gennaio 2022;Basilicata;4.165;3.455;83,00%;2.964;615;85,80%;17,80%;491;14,20%
23 - 29 gennaio 2022;Calabria;15.129;11.323;74,80%;10.334;1.177;91,30%;10,40%;989;8,70%
23 - 29 gennaio 2022;Sicilia;36.645;30.591;83,50%;27.539;4.835;90,00%;15,90%;3.052;10,00%
23 - 29 gennaio 2022;Sardegna;11.334;8.230;72,60%;6.338;1.372;77,00%;16,70%;1.892;23,00%
23 - 29 gennaio 2022;TOTALE;375.663;293.567;78,10%;242.988;42.749;82,80%;14,60%;50.579;17,20%
;;;;;;;;;;
31 gennaio - 5 febbraio 2022;Piemonte;26.349;20.687;78,5%;18.164;2.017;87,8%;10,1%;2.523;12,2%
31 gennaio - 5 febbraio 2022;Lombardia;56.146;42.055;74,9%;38.012;3.754;90,4%;9,1%;4.043;9,6%
31 gennaio - 5 febbraio 2022;Veneto;28.355;20.572;72,6%;18.138;2.076;88,2%;10,4%;2.434;11,8%
31 gennaio - 5 febbraio 2022;Friuli Venezia Giulia;7.379;5.303;71,9%;4.724;519;89,1%;10,5%;579;10,9%
31 gennaio - 5 febbraio 2022;Liguria;8.418;6.557;77,9%;5.629;905;85,8%;14,3%;928;14,2%
31 gennaio - 5 febbraio 2022;Emilia Romagna;25.358;17.785;70,1%;15.464;1.870;86,9%;10,6%;2.321;13,1%
31 gennaio - 5 febbraio 2022;Toscana;22.801;16.162;70,9%;13.968;1.759;86,4%;11,1%;2.194;13,6%
31 gennaio - 5 febbraio 2022;Umbria;5.941;4.882;82,2%;4.339;559;88,9%;11,5%;543;11,1%
31 gennaio - 5 febbraio 2022;Marche;10.163;8.081;79,5%;6.985;940;86,4%;11,9%;1.096;13,6%
31 gennaio - 5 febbraio 2022;Lazio;34.815;24.274;69,7%;20.674;2.950;85,2%;12,5%;3.600;14,8%
31 gennaio - 5 febbraio 2022;Abruzzo;8.756;6.279;71,7%;5.303;930;84,5%;15,0%;976;15,5%
31 gennaio - 5 febbraio 2022;Molise;2.147;1.795;83,6%;1.629;208;90,8%;12,3%;166;9,2%
31 gennaio - 5 febbraio 2022;Campania;44.025;30.013;68,2%;26.716;3.689;89,0%;12,4%;3.297;11,0%
31 gennaio - 5 febbraio 2022;Puglia;27.982;23.020;82,3%;20.257;3.274;88,0%;14,4%;2.763;12,0%
31 gennaio - 5 febbraio 2022;Basilicata;4.165;3.749;90,0%;3.217;627;85,8%;17,1%;532;14,2%
31 gennaio - 5 febbraio 2022;Calabria;15.128;11.468;75,8%;10.365;1.197;90,4%;10,8%;1.103;9,6%
31 gennaio - 5 febbraio 2022;Sicilia;36.646;29.729;81,1%;26.565;4.297;89,4%;14,5%;3.164;10,6%
