Data;Media a 7 giorni;Media a 7 giorni_non_consolidati;Nuovi casi giornaleiri;Nuovi casi giornaleiri_non_consolidati
29/01/20;null;;2;
30/01/20;null;;0;
31/01/20;null;;0;
01/02/20;0;;0;
02/02/20;0,142857143;;0;
03/02/20;0,142857143;;0;
04/02/20;0,142857143;;0;
05/02/20;0,142857143;;0;
06/02/20;0,142857143;;1;
07/02/20;0,142857143;;0;
08/02/20;0,142857143;;0;
09/02/20;0;;0;
10/02/20;0;;0;
11/02/20;0;;0;
12/02/20;0;;0;
13/02/20;0;;0;
14/02/20;0;;0;
15/02/20;0;;0;
16/02/20;0,571428571;;0;
17/02/20;5,857142857;;0;
18/02/20;13,85714286;;0;
19/02/20;24,85714286;;0;
20/02/20;37;;4;
21/02/20;64,28571429;;37;
22/02/20;103,8571429;;56;
23/02/20;144,1428571;;77;
24/02/20;188,5714286;;85;
25/02/20;233,8571429;;191;
26/02/20;281,4285714;;277;
27/02/20;359,2857143;;286;
28/02/20;446,7142857;;348;
29/02/20;560,7142857;;373;
01/03/20;705,7142857;;410;
02/03/20;874,1428571;;630;
03/03/20;1027,428571;;803;
04/03/20;1176,285714;;1075;
05/03/20;1405,857143;;1301;
06/03/20;1641,285714;;1527;
07/03/20;1884,285714;;1446;
08/03/20;2146,857143;;1452;
09/03/20;2515,142857;;2237;
10/03/20;2813,571429;;2451;
11/03/20;3013,142857;;2776;
12/03/20;3381,285714;;3139;
13/03/20;3794,428571;;4105;
14/03/20;4210,571429;;3535;
15/03/20;4573,285714;;2849;
16/03/20;4880;;4814;
17/03/20;5077,571429;;5343;
18/03/20;5231,428571;;5689;
19/03/20;5414,857143;;5678;
20/03/20;5496,714286;;6252;
21/03/20;5513;;4918;
22/03/20;5516;;3926;
23/03/20;5450,285714;;6098;
24/03/20;5394,428571;;5916;
25/03/20;5264,285714;;5803;
26/03/20;5119,714286;;5699;
27/03/20;5039,714286;;5792;
28/03/20;4928,428571;;4527;
29/03/20;4796,571429;;3015;
30/03/20;4605,285714;;5086;
31/03/20;4481,428571;;5356;
01/04/20;4422,142857;;5024;
02/04/20;4279;;4776;
03/04/20;4105,142857;;4453;
04/04/20;4072,571429;;3660;
05/04/20;4059,428571;;2600;
06/04/20;4156,142857;;4084;
07/04/20;4123,428571;;4139;
08/04/20;4026,857143;;4796;
09/04/20;3767,285714;;4684;
10/04/20;3644;;5130;
11/04/20;3523,285714;;3431;
12/04/20;3383,428571;;1924;
13/04/20;3150,857143;;2267;
14/04/20;3037,428571;;3276;
15/04/20;2960,857143;;3951;
16/04/20;3066,571429;;3705;
17/04/20;3037,857143;;3502;
18/04/20;2845,571429;;2637;
19/04/20;2718;;1388;
20/04/20;2608,714286;;3007;
21/04/20;2470,142857;;3075;
22/04/20;2417,285714;;2605;
23/04/20;2270,285714;;2812;
24/04/20;2151;;2737;
25/04/20;2111,285714;;1667;
26/04/20;2033;;1018;
27/04/20;1797;;1978;
28/04/20;1704,428571;;2240;
29/04/20;1631,285714;;2327;
30/04/20;1556,857143;;2264;
01/05/20;1456,285714;;1085;
02/05/20;1330;;1019;
03/05/20;1205;;506;
04/05/20;1247;;1457;
05/05/20;1205,857143;;1536;
06/05/20;1181,714286;;1443;
07/05/20;1098,142857;;1389;
08/05/20;1009,428571;;1379;
09/05/20;930,2857143;;731;
10/05/20;860,7142857;;337;
11/05/20;776,7142857;;872;
12/05/20;758,8571429;;915;
13/05/20;753,2857143;;889;
14/05/20;722,2857143;;902;
15/05/20;694,4285714;;791;
16/05/20;663,7142857;;606;
17/05/20;623,7142857;;298;
18/05/20;608,5714286;;655;
19/05/20;572,8571429;;720;
20/05/20;551,2857143;;674;
21/05/20;531;;622;
22/05/20;505,2857143;;685;
23/05/20;483,8571429;;356;
24/05/20;468,7142857;;147;
25/05/20;426,2857143;;513;
26/05/20;416;;540;
27/05/20;407,7142857;;524;
28/05/20;388;;516;
29/05/20;323,2857143;;388;
30/05/20;299,5714286;;284;
31/05/20;277,4285714;;89;
01/06/20;276,8571429;;375;
02/06/20;265,2857143;;87;
03/06/20;264,5714286;;358;
04/06/20;253,8571429;;361;
05/06/20;294;;384;
06/06/20;299,1428571;;203;
07/06/20;311,4285714;;84;
08/06/20;309,1428571;;300;
09/06/20;310,7142857;;368;
10/06/20;308,4285714;;394;
11/06/20;305;;447;
12/06/20;292,4285714;;368;
13/06/20;279,2857143;;214;
14/06/20;248,5714286;;68;
15/06/20;237,4285714;;276;
16/06/20;230,4285714;;280;
