Data;Media a 7 giorni;Media a 7 giorni_non_consolidati;Nuovi casi giornaleiri;Nuovi casi giornaleiri_non_consolidati
20/02/20;null;;92;
21/02/20;null;;121;
22/02/20;null;;106;
23/02/20;204,7142857;;152;
24/02/20;241,5714286;;191;
25/02/20;279,7142857;;268;
26/02/20;321,4285714;;276;
27/02/20;389,1428571;;319;
28/02/20;467,7142857;;379;
29/02/20;559;;373;
01/03/20;669,1428571;;444;
02/03/20;791,1428571;;665;
03/03/20;910;;818;
04/03/20;1012,285714;;915;
05/03/20;1125;;1090;
06/03/20;1236,142857;;1233;
07/03/20;1355,857143;;1205;
08/03/20;1472,142857;;1160;
09/03/20;1628,571429;;1454;
10/03/20;1741,285714;;1596;
11/03/20;1847,142857;;1753;
12/03/20;1995;;1904;
13/03/20;2148,571429;;2328;
14/03/20;2285;;1994;
15/03/20;2410,857143;;1901;
16/03/20;2486,285714;;2489;
17/03/20;2564,285714;;2671;
18/03/20;2606;;2708;
19/03/20;2637,714286;;2785;
20/03/20;2630,285714;;2856;
21/03/20;2575,857143;;2540;
22/03/20;2480,714286;;2193;
23/03/20;2390,714286;;2711;
24/03/20;2277,142857;;2619;
25/03/20;2169,142857;;2327;
26/03/20;2022,857143;;2119;
27/03/20;1873,571429;;2226;
28/03/20;1754,571429;;1745;
29/03/20;1660,857143;;1437;
30/03/20;1522,428571;;1687;
31/03/20;1418;;1574;
01/04/20;1332;;1494;
02/04/20;1235,571429;;1463;
03/04/20;1155,428571;;1257;
04/04/20;1089,714286;;1014;
05/04/20;1022,428571;;835;
06/04/20;971,1428571;;1012;
07/04/20;941,5714286;;1013;
08/04/20;916,5714286;;1034;
09/04/20;860,8571429;;992;
10/04/20;836;;898;
11/04/20;786,8571429;;807;
12/04/20;744,7142857;;660;
13/04/20;717,2857143;;622;
14/04/20;683,2857143;;839;
15/04/20;654,8571429;;690;
16/04/20;658,4285714;;697;
17/04/20;621,2857143;;706;
18/04/20;606,4285714;;569;
19/04/20;588,8571429;;461;
20/04/20;565,2857143;;647;
21/04/20;544,7142857;;579;
22/04/20;528,7142857;;586;
23/04/20;496,4285714;;574;
24/04/20;473,1428571;;541;
25/04/20;446,7142857;;425;
26/04/20;415;;349;
27/04/20;376,5714286;;421;
28/04/20;349,4285714;;416;
29/04/20;325,2857143;;401;
